;Hours;Oslo
04.01.2019;22 - 23;494,9
04.01.2019;23 - 00;487,24
05.01.2019;00 - 01;477,81
05.01.2019;01 - 02;468,93
05.01.2019;02 - 03;465,67
05.01.2019;03 - 04;463,8
05.01.2019;04 - 05;463,89
05.01.2019;05 - 06;467,05
05.01.2019;06 - 07;469,62
05.01.2019;07 - 08;475,83
05.01.2019;08 - 09;493,3
05.01.2019;09 - 10;500,6
05.01.2019;10 - 11;502,58
05.01.2019;11 - 12;503,47
05.01.2019;12 - 13;506,82
05.01.2019;13 - 14;510,57
05.01.2019;14 - 15;512,35
05.01.2019;15 - 16;525,17
05.01.2019;16 - 17;545,31
05.01.2019;17 - 18;551,33
05.01.2019;18 - 19;545,31
05.01.2019;19 - 20;530,9
05.01.2019;20 - 21;520,54
05.01.2019;21 - 22;512,15
05.01.2019;22 - 23;504,55
05.01.2019;23 - 00;495,47
06.01.2019;00 - 01;493,66
06.01.2019;01 - 02;481,29
06.01.2019;02 - 03;479,13
06.01.2019;03 - 04;477,66
06.01.2019;04 - 05;469,42
06.01.2019;05 - 06;478,25
06.01.2019;06 - 07;484,73
06.01.2019;07 - 08;487,38
06.01.2019;08 - 09;495,13
06.01.2019;09 - 10;507,31
06.01.2019;10 - 11;513,88
06.01.2019;11 - 12;518,01
06.01.2019;12 - 13;518,89
06.01.2019;13 - 14;514,77
06.01.2019;14 - 15;505,74
06.01.2019;15 - 16;506,23
06.01.2019;16 - 17;523,01
06.01.2019;17 - 18;542,35
06.01.2019;18 - 19;532,53
06.01.2019;19 - 20;519,28
06.01.2019;20 - 21;509,96
06.01.2019;21 - 22;506,23
06.01.2019;22 - 23;497,78
06.01.2019;23 - 00;493,07
07.01.2019;00 - 01;477,27
07.01.2019;01 - 02;472,56
07.01.2019;02 - 03;472,75
07.01.2019;03 - 04;467,55
07.01.2019;04 - 05;472,07
07.01.2019;05 - 06;490,62
07.01.2019;06 - 07;517,71
07.01.2019;07 - 08;557,47
07.01.2019;08 - 09;568,76
07.01.2019;09 - 10;558,55
07.01.2019;10 - 11;552,46
07.01.2019;11 - 12;545,39
07.01.2019;12 - 13;541,27
07.01.2019;13 - 14;531,65
07.01.2019;14 - 15;527,43
07.01.2019;15 - 16;522,72
07.01.2019;16 - 17;522,82
07.01.2019;17 - 18;520,26
07.01.2019;18 - 19;503,77
07.01.2019;19 - 20;499,55
07.01.2019;20 - 21;496,7
07.01.2019;21 - 22;491,11
07.01.2019;22 - 23;482,08
07.01.2019;23 - 00;470,69
08.01.2019;00 - 01;465,32
08.01.2019;01 - 02;462,37
08.01.2019;02 - 03;454,8
08.01.2019;03 - 04;454,61
08.01.2019;04 - 05;458,73
08.01.2019;05 - 06;470,13
08.01.2019;06 - 07;491,94
08.01.2019;07 - 08;504,02
08.01.2019;08 - 09;507,85
08.01.2019;09 - 10;505,69
08.01.2019;10 - 11;505,69
08.01.2019;11 - 12;503,04
08.01.2019;12 - 13;499,79
08.01.2019;13 - 14;497,34
08.01.2019;14 - 15;498,03
08.01.2019;15 - 16;497,93
08.01.2019;16 - 17;502,45
08.01.2019;17 - 18;501,46
08.01.2019;18 - 19;497,24
08.01.2019;19 - 20;490,95
08.01.2019;20 - 21;488,3
08.01.2019;21 - 22;486,14
08.01.2019;22 - 23;481,62
08.01.2019;23 - 00;474,16
09.01.2019;00 - 01;458,55
09.01.2019;01 - 02;456,79
09.01.2019;02 - 03;454,84
09.01.2019;03 - 04;454,25
09.01.2019;04 - 05;453,17
09.01.2019;05 - 06;469,4
09.01.2019;06 - 07;483,37
09.01.2019;07 - 08;495,88
09.01.2019;08 - 09;498,23
09.01.2019;09 - 10;497,84
09.01.2019;10 - 11;498,62
09.01.2019;11 - 12;498,03
09.01.2019;12 - 13;496,08
09.01.2019;13 - 14;495,39
09.01.2019;14 - 15;497,25
09.01.2019;15 - 16;502,53
09.01.2019;16 - 17;524,71
09.01.2019;17 - 18;533,51
09.01.2019;18 - 19;529,6
09.01.2019;19 - 20;529,6
09.01.2019;20 - 21;517,77
09.01.2019;21 - 22;505,07
09.01.2019;22 - 23;498,03
09.01.2019;23 - 00;488,26
10.01.2019;00 - 01;493,69
10.01.2019;01 - 02;488,51
10.01.2019;02 - 03;484,31
10.01.2019;03 - 04;488,51
10.01.2019;04 - 05;488,12
10.01.2019;05 - 06;507,28
10.01.2019;06 - 07;553,32
10.01.2019;07 - 08;692,6
10.01.2019;08 - 09;774,41
10.01.2019;09 - 10;773,82
10.01.2019;10 - 11;767,76
10.01.2019;11 - 12;756,91
10.01.2019;12 - 13;680,87
10.01.2019;13 - 14;621,74
10.01.2019;14 - 15;585,87
10.01.2019;15 - 16;576,78
10.01.2019;16 - 17;582,25
10.01.2019;17 - 18;578,73
10.01.2019;18 - 19;551,07
10.01.2019;19 - 20;530,54
10.01.2019;20 - 21;515,88
10.01.2019;21 - 22;508,36
10.01.2019;22 - 23;493,4
10.01.2019;23 - 00;483,24
11.01.2019;00 - 01;466,98
11.01.2019;01 - 02;454,68
11.01.2019;02 - 03;458,09
11.01.2019;03 - 04;463,46
11.01.2019;04 - 05;453,8
11.01.2019;05 - 06;465,51
11.01.2019;06 - 07;488,65
11.01.2019;07 - 08;517,64
11.01.2019;08 - 09;529,55
11.01.2019;09 - 10;524,08
11.01.2019;10 - 11;523,49
11.01.2019;11 - 12;520,47
11.01.2019;12 - 13;506,51
11.01.2019;13 - 14;495,87
11.01.2019;14 - 15;481,52
11.01.2019;15 - 16;478,98
11.01.2019;16 - 17;483,57
11.01.2019;17 - 18;502,8
11.01.2019;18 - 19;492,35
11.01.2019;19 - 20;484,55
11.01.2019;20 - 21;483,47
11.01.2019;21 - 22;477,62
11.01.2019;22 - 23;468,44
11.01.2019;23 - 00;462,68
12.01.2019;00 - 01;471,48
12.01.2019;01 - 02;468,26
12.01.2019;02 - 03;468,94
12.01.2019;03 - 04;464,84
12.01.2019;04 - 05;466,11
12.01.2019;05 - 06;463,87
12.01.2019;06 - 07;465,14
12.01.2019;07 - 08;473,13
12.01.2019;08 - 09;475,28
12.01.2019;09 - 10;486,69
12.01.2019;10 - 11;490,49
12.01.2019;11 - 12;490,69
12.01.2019;12 - 13;490,69
12.01.2019;13 - 14;487,08
12.01.2019;14 - 15;488,44
12.01.2019;15 - 16;495,56
12.01.2019;16 - 17;504,14
12.01.2019;17 - 18;516,43
12.01.2019;18 - 19;510,29
12.01.2019;19 - 20;499,56
12.01.2019;20 - 21;487,76
12.01.2019;21 - 22;488,74
12.01.2019;22 - 23;479,37
12.01.2019;23 - 00;478,98
13.01.2019;00 - 01;493,27
13.01.2019;01 - 02;485,91
13.01.2019;02 - 03;480,8
13.01.2019;03 - 04;477,96
13.01.2019;04 - 05;476,88
13.01.2019;05 - 06;476,19
13.01.2019;06 - 07;472,07
13.01.2019;07 - 08;477,07
13.01.2019;08 - 09;479,72
13.01.2019;09 - 10;479,92
13.01.2019;10 - 11;485,51
13.01.2019;11 - 12;489,24
13.01.2019;12 - 13;489,44
13.01.2019;13 - 14;484,43
13.01.2019;14 - 15;482,08
13.01.2019;15 - 16;482,96
13.01.2019;16 - 17;492,38
13.01.2019;17 - 18;493,56
13.01.2019;18 - 19;489,73
13.01.2019;19 - 20;491,4
13.01.2019;20 - 21;489,44
13.01.2019;21 - 22;482,77
13.01.2019;22 - 23;480,31
13.01.2019;23 - 00;481,88
14.01.2019;00 - 01;471,68
14.01.2019;01 - 02;469,42
14.01.2019;02 - 03;471,28
14.01.2019;03 - 04;470,1
14.01.2019;04 - 05;463,73
14.01.2019;05 - 06;473,15
14.01.2019;06 - 07;478,94
14.01.2019;07 - 08;502,69
14.01.2019;08 - 09;507,01
14.01.2019;09 - 10;497,39
14.01.2019;10 - 11;496,6
14.01.2019;11 - 12;493,36
14.01.2019;12 - 13;489,64
14.01.2019;13 - 14;489,93
14.01.2019;14 - 15;491,4
14.01.2019;15 - 16;492,48
14.01.2019;16 - 17;499,84
14.01.2019;17 - 18;502,98
14.01.2019;18 - 19;499,84
14.01.2019;19 - 20;495,82
14.01.2019;20 - 21;495,33
14.01.2019;21 - 22;496,9
14.01.2019;22 - 23;491,01
14.01.2019;23 - 00;480,9
15.01.2019;00 - 01;472,41
15.01.2019;01 - 02;466,43
15.01.2019;02 - 03;465,06
15.01.2019;03 - 04;466,04
15.01.2019;04 - 05;466,92
15.01.2019;05 - 06;474,76
15.01.2019;06 - 07;498,76
15.01.2019;07 - 08;526,39
15.01.2019;08 - 09;558,62
15.01.2019;09 - 10;571,94
15.01.2019;10 - 11;553,92
15.01.2019;11 - 12;538,83
15.01.2019;12 - 13;528,25
15.01.2019;13 - 14;522,27
15.01.2019;14 - 15;515,61
15.01.2019;15 - 16;515,61
15.01.2019;16 - 17;528,15
15.01.2019;17 - 18;533,93
15.01.2019;18 - 19;531,68
15.01.2019;19 - 20;522,37
15.01.2019;20 - 21;514,34
15.01.2019;21 - 22;506,01
15.01.2019;22 - 23;493,76
15.01.2019;23 - 00;476,72
16.01.2019;00 - 01;483,07
16.01.2019;01 - 02;478,48
16.01.2019;02 - 03;477,51
16.01.2019;03 - 04;478,97
16.01.2019;04 - 05;479,56
16.01.2019;05 - 06;498,5
16.01.2019;06 - 07;515,68
16.01.2019;07 - 08;553,27
16.01.2019;08 - 09;580,02
16.01.2019;09 - 10;550,34
16.01.2019;10 - 11;542,43
16.01.2019;11 - 12;536,18
16.01.2019;12 - 13;528,67
16.01.2019;13 - 14;519
16.01.2019;14 - 15;522,81
16.01.2019;15 - 16;524,47
16.01.2019;16 - 17;535,31
16.01.2019;17 - 18;527,3
16.01.2019;18 - 19;514,22
16.01.2019;19 - 20;509,24
16.01.2019;20 - 21;501,33
16.01.2019;21 - 22;491,96
16.01.2019;22 - 23;484,83
16.01.2019;23 - 00;482,98
17.01.2019;00 - 01;485,14
17.01.2019;01 - 02;471,81
17.01.2019;02 - 03;471,71
17.01.2019;03 - 04;470,35
17.01.2019;04 - 05;472,2
17.01.2019;05 - 06;489,72
17.01.2019;06 - 07;513,48
17.01.2019;07 - 08;525,16
17.01.2019;08 - 09;529,83
17.01.2019;09 - 10;532,95
17.01.2019;10 - 11;533,53
17.01.2019;11 - 12;531,78
17.01.2019;12 - 13;529,93
17.01.2019;13 - 14;530,32
17.01.2019;14 - 15;535,48
17.01.2019;15 - 16;544,24
17.01.2019;16 - 17;559,14
17.01.2019;17 - 18;571,7
17.01.2019;18 - 19;536,06
17.01.2019;19 - 20;524,28
17.01.2019;20 - 21;516,49
17.01.2019;21 - 22;513,57
17.01.2019;22 - 23;498,39
17.01.2019;23 - 00;487,09
18.01.2019;00 - 01;499,32
18.01.2019;01 - 02;492,58
18.01.2019;02 - 03;489,17
18.01.2019;03 - 04;489,46
18.01.2019;04 - 05;494,34
18.01.2019;05 - 06;517,57
18.01.2019;06 - 07;545,97
18.01.2019;07 - 08;690,51
18.01.2019;08 - 09;732,19
18.01.2019;09 - 10;722,92
18.01.2019;10 - 11;688,17
18.01.2019;11 - 12;673,63
18.01.2019;12 - 13;656,74
18.01.2019;13 - 14;616,63
18.01.2019;14 - 15;589,3
18.01.2019;15 - 16;579,54
18.01.2019;16 - 17;651,86
18.01.2019;17 - 18;714,82
18.01.2019;18 - 19;719,3
18.01.2019;19 - 20;590,28
18.01.2019;20 - 21;565,68
18.01.2019;21 - 22;549,78
18.01.2019;22 - 23;540,11
18.01.2019;23 - 00;518,84
19.01.2019;00 - 01;523,19
19.01.2019;01 - 02;517,55
19.01.2019;02 - 03;519,79
19.01.2019;03 - 04;510,54
19.01.2019;04 - 05;508,5
19.01.2019;05 - 06;505,97
19.01.2019;06 - 07;503,34
19.01.2019;07 - 08;513,36
19.01.2019;08 - 09;531,85
19.01.2019;09 - 10;551,03
19.01.2019;10 - 11;573,6
19.01.2019;11 - 12;555,11
19.01.2019;12 - 13;537,79
19.01.2019;13 - 14;529,23
19.01.2019;14 - 15;523,97
19.01.2019;15 - 16;539,25
19.01.2019;16 - 17;578,96
19.01.2019;17 - 18;622,46
19.01.2019;18 - 19;593,55
19.01.2019;19 - 20;555,11
19.01.2019;20 - 21;531,46
19.01.2019;21 - 22;521,64
19.01.2019;22 - 23;513,85
19.01.2019;23 - 00;508,98
20.01.2019;00 - 01;511,75
20.01.2019;01 - 02;509,71
20.01.2019;02 - 03;506,88
20.01.2019;03 - 04;496,85
20.01.2019;04 - 05;496,46
20.01.2019;05 - 06;498,02
20.01.2019;06 - 07;496,85
20.01.2019;07 - 08;505,03
20.01.2019;08 - 09;508,05
20.01.2019;09 - 10;523,06
20.01.2019;10 - 11;530,85
20.01.2019;11 - 12;533
20.01.2019;12 - 13;527,83
20.01.2019;13 - 14;523,35
20.01.2019;14 - 15;526,57
20.01.2019;15 - 16;539,72
20.01.2019;16 - 17;565,35
20.01.2019;17 - 18;634,14
20.01.2019;18 - 19;660,35
20.01.2019;19 - 20;619,91
20.01.2019;20 - 21;582,89
20.01.2019;21 - 22;559,01
20.01.2019;22 - 23;555,51
20.01.2019;23 - 00;532,22
21.01.2019;00 - 01;535,34
21.01.2019;01 - 02;517,41
21.01.2019;02 - 03;507,66
21.01.2019;03 - 04;505,03
21.01.2019;04 - 05;513,61
21.01.2019;05 - 06;536,41
21.01.2019;06 - 07;603,45
21.01.2019;07 - 08;757,21
21.01.2019;08 - 09;837,5
21.01.2019;09 - 10;818,01
21.01.2019;10 - 11;762,47
21.01.2019;11 - 12;730,8
21.01.2019;12 - 13;666,39
21.01.2019;13 - 14;674,97
21.01.2019;14 - 15;679,45
21.01.2019;15 - 16;721,45
21.01.2019;16 - 17;790,04
21.01.2019;17 - 18;860,88
21.01.2019;18 - 19;861,08
21.01.2019;19 - 20;760,13
21.01.2019;20 - 21;670,39
21.01.2019;21 - 22;600,23
21.01.2019;22 - 23;564,57
21.01.2019;23 - 00;535,24
22.01.2019;00 - 01;532,06
22.01.2019;01 - 02;526,31
22.01.2019;02 - 03;521,15
22.01.2019;03 - 04;511,02
22.01.2019;04 - 05;520,37
22.01.2019;05 - 06;537,22
22.01.2019;06 - 07;578,6
22.01.2019;07 - 08;716,1
22.01.2019;08 - 09;781,24
22.01.2019;09 - 10;745,89
22.01.2019;10 - 11;722,43
22.01.2019;11 - 12;682,21
22.01.2019;12 - 13;604,41
22.01.2019;13 - 14;573,05
22.01.2019;14 - 15;581,23
22.01.2019;15 - 16;633,81
22.01.2019;16 - 17;683,67
22.01.2019;17 - 18;767,32
22.01.2019;18 - 19;694,48
22.01.2019;19 - 20;585,22
22.01.2019;20 - 21;554,45
22.01.2019;21 - 22;539,26
22.01.2019;22 - 23;537,8
22.01.2019;23 - 00;519,01
23.01.2019;00 - 01;519,55
23.01.2019;01 - 02;513,89
23.01.2019;02 - 03;509,2
23.01.2019;03 - 04;499,92
23.01.2019;04 - 05;508,52
23.01.2019;05 - 06;535,86
23.01.2019;06 - 07;578,05
23.01.2019;07 - 08;776,2
23.01.2019;08 - 09;863,12
23.01.2019;09 - 10;821,32
23.01.2019;10 - 11;833,53
23.01.2019;11 - 12;803,25
23.01.2019;12 - 13;747,1
23.01.2019;13 - 14;647
23.01.2019;14 - 15;672,39
23.01.2019;15 - 16;728,35
23.01.2019;16 - 17;803,16
23.01.2019;17 - 18;850,91
23.01.2019;18 - 19;830,4
23.01.2019;19 - 20;607,93
23.01.2019;20 - 21;567,01
23.01.2019;21 - 22;562,03
23.01.2019;22 - 23;555
23.01.2019;23 - 00;536,74
24.01.2019;00 - 01;546,78
24.01.2019;01 - 02;545,03
24.01.2019;02 - 03;542,78
24.01.2019;03 - 04;540,44
24.01.2019;04 - 05;545,03
24.01.2019;05 - 06;581,26
24.01.2019;06 - 07;600,9
24.01.2019;07 - 08;936,7
24.01.2019;08 - 09;1069,05
24.01.2019;09 - 10;1051,67
24.01.2019;10 - 11;957,8
24.01.2019;11 - 12;980,36
24.01.2019;12 - 13;929,67
24.01.2019;13 - 14;875,85
24.01.2019;14 - 15;849,67
24.01.2019;15 - 16;855,14
24.01.2019;16 - 17;898,32
24.01.2019;17 - 18;1009,96
24.01.2019;18 - 19;979,58
24.01.2019;19 - 20;716,74
24.01.2019;20 - 21;589,47
24.01.2019;21 - 22;583,61
24.01.2019;22 - 23;570,91
24.01.2019;23 - 00;558,6
25.01.2019;00 - 01;557,47
25.01.2019;01 - 02;549,2
25.01.2019;02 - 03;544,14
25.01.2019;03 - 04;539,18
25.01.2019;04 - 05;537,63
25.01.2019;05 - 06;560,29
25.01.2019;06 - 07;598,9
25.01.2019;07 - 08;795,35
25.01.2019;08 - 09;913,22
25.01.2019;09 - 10;881,62
25.01.2019;10 - 11;800,21
25.01.2019;11 - 12;734,28
25.01.2019;12 - 13;671,64
25.01.2019;13 - 14;633,32
25.01.2019;14 - 15;609,3
25.01.2019;15 - 16;605,12
25.01.2019;16 - 17;612,71
25.01.2019;17 - 18;648,4
25.01.2019;18 - 19;597,92
25.01.2019;19 - 20;557,08
25.01.2019;20 - 21;539,08
25.01.2019;21 - 22;528,68
25.01.2019;22 - 23;521,19
25.01.2019;23 - 00;509,13
26.01.2019;00 - 01;504,04
26.01.2019;01 - 02;500,25
26.01.2019;02 - 03;495,01
26.01.2019;03 - 04;493,74
26.01.2019;04 - 05;500,25
26.01.2019;05 - 06;505,01
26.01.2019;06 - 07;509,18
26.01.2019;07 - 08;518,02
26.01.2019;08 - 09;524,23
26.01.2019;09 - 10;546,47
26.01.2019;10 - 11;569,19
26.01.2019;11 - 12;574,63
26.01.2019;12 - 13;550,74
26.01.2019;13 - 14;545,3
26.01.2019;14 - 15;530,25
26.01.2019;15 - 16;525,3
26.01.2019;16 - 17;535,69
26.01.2019;17 - 18;550,84
26.01.2019;18 - 19;552,1
26.01.2019;19 - 20;535,11
26.01.2019;20 - 21;515,2
26.01.2019;21 - 22;508,99
26.01.2019;22 - 23;504,13
26.01.2019;23 - 00;496,56
27.01.2019;00 - 01;500,5
27.01.2019;01 - 02;496,03
27.01.2019;02 - 03;493,02
27.01.2019;03 - 04;492,53
27.01.2019;04 - 05;493,5
27.01.2019;05 - 06;494,28
27.01.2019;06 - 07;499,73
27.01.2019;07 - 08;500,31
27.01.2019;08 - 09;500,21
27.01.2019;09 - 10;502,25
27.01.2019;10 - 11;511,49
27.01.2019;11 - 12;511,78
27.01.2019;12 - 13;507,99
27.01.2019;13 - 14;505,95
27.01.2019;14 - 15;506,05
27.01.2019;15 - 16;507,21
27.01.2019;16 - 17;520,05
27.01.2019;17 - 18;528,02
27.01.2019;18 - 19;528,7
27.01.2019;19 - 20;527,53
27.01.2019;20 - 21;521,21
27.01.2019;21 - 22;513,34
27.01.2019;22 - 23;510,42
27.01.2019;23 - 00;500,99
28.01.2019;00 - 01;496,03
28.01.2019;01 - 02;491,07
28.01.2019;02 - 03;489,23
28.01.2019;03 - 04;489,91
28.01.2019;04 - 05;495,55
28.01.2019;05 - 06;520,82
28.01.2019;06 - 07;536,09
28.01.2019;07 - 08;602,69
28.01.2019;08 - 09;630,78
28.01.2019;09 - 10;601,81
28.01.2019;10 - 11;567,59
28.01.2019;11 - 12;557,09
28.01.2019;12 - 13;553,49
28.01.2019;13 - 14;553,2
28.01.2019;14 - 15;557,77
28.01.2019;15 - 16;563,89
28.01.2019;16 - 17;580,13
28.01.2019;17 - 18;596,75
28.01.2019;18 - 19;579,84
28.01.2019;19 - 20;548,73
28.01.2019;20 - 21;536,38
28.01.2019;21 - 22;532,68
28.01.2019;22 - 23;521,89
28.01.2019;23 - 00;509,06
29.01.2019;00 - 01;499,14
29.01.2019;01 - 02;493,11
29.01.2019;02 - 03;492,14
29.01.2019;03 - 04;496,13
29.01.2019;04 - 05;501,58
29.01.2019;05 - 06;527,06
29.01.2019;06 - 07;550,41
29.01.2019;07 - 08;658,29
29.01.2019;08 - 09;708,2
29.01.2019;09 - 10;687,09
29.01.2019;10 - 11;684,66
29.01.2019;11 - 12;656,74
29.01.2019;12 - 13;622,88
29.01.2019;13 - 14;621,04
29.01.2019;14 - 15;647,5
29.01.2019;15 - 16;642,05
29.01.2019;16 - 17;674,44
29.01.2019;17 - 18;695,07
29.01.2019;18 - 19;708,39
29.01.2019;19 - 20;662,87
29.01.2019;20 - 21;565
29.01.2019;21 - 22;542,24
29.01.2019;22 - 23;523,66
29.01.2019;23 - 00;512,08
30.01.2019;00 - 01;499,67
30.01.2019;01 - 02;496,36
30.01.2019;02 - 03;492,19
30.01.2019;03 - 04;493,45
30.01.2019;04 - 05;499,76
30.01.2019;05 - 06;524,04
30.01.2019;06 - 07;544,62
30.01.2019;07 - 08;646,58
30.01.2019;08 - 09;662,4
30.01.2019;09 - 10;655,31
30.01.2019;10 - 11;641,72
30.01.2019;11 - 12;618,81
30.01.2019;12 - 13;584,63
30.01.2019;13 - 14;561,61
30.01.2019;14 - 15;553,17
30.01.2019;15 - 16;560,06
30.01.2019;16 - 17;597,83
30.01.2019;17 - 18;662,21
30.01.2019;18 - 19;607,15
30.01.2019;19 - 20;561,81
30.01.2019;20 - 21;528,31
30.01.2019;21 - 22;522,68
30.01.2019;22 - 23;504,81
30.01.2019;23 - 00;493,84
31.01.2019;00 - 01;494,95
31.01.2019;01 - 02;490,58
31.01.2019;02 - 03;489,81
31.01.2019;03 - 04;490,29
31.01.2019;04 - 05;494,17
31.01.2019;05 - 06;521,64
31.01.2019;06 - 07;543,38
31.01.2019;07 - 08;670,32
31.01.2019;08 - 09;679,93
31.01.2019;09 - 10;654,3
31.01.2019;10 - 11;637,9
31.01.2019;11 - 12;596,95
31.01.2019;12 - 13;577,05
31.01.2019;13 - 14;555,51
31.01.2019;14 - 15;552,21
31.01.2019;15 - 16;552,4
31.01.2019;16 - 17;573,46
31.01.2019;17 - 18;584,91
31.01.2019;18 - 19;559,97
31.01.2019;19 - 20;547,16
31.01.2019;20 - 21;540,37
31.01.2019;21 - 22;526,78
31.01.2019;22 - 23;510,67
31.01.2019;23 - 00;499,41
01.02.2019;00 - 01;495,63
01.02.2019;01 - 02;487,51
01.02.2019;02 - 03;483,26
01.02.2019;03 - 04;483,94
01.02.2019;04 - 05;489,93
01.02.2019;05 - 06;507,7
01.02.2019;06 - 07;521,42
01.02.2019;07 - 08;534,07
01.02.2019;08 - 09;547,31
01.02.2019;09 - 10;540,26
01.02.2019;10 - 11;539,87
01.02.2019;11 - 12;546,05
01.02.2019;12 - 13;541,41
01.02.2019;13 - 14;537,45
01.02.2019;14 - 15;537,65
01.02.2019;15 - 16;536,97
01.02.2019;16 - 17;541,13
01.02.2019;17 - 18;549,53
01.02.2019;18 - 19;543,64
01.02.2019;19 - 20;532,05
01.02.2019;20 - 21;523,35
01.02.2019;21 - 22;521,52
01.02.2019;22 - 23;509,15
01.02.2019;23 - 00;491,86
02.02.2019;00 - 01;483,82
02.02.2019;01 - 02;471,16
02.02.2019;02 - 03;470,29
02.02.2019;03 - 04;469,71
02.02.2019;04 - 05;469,8
02.02.2019;05 - 06;474,44
02.02.2019;06 - 07;475,8
02.02.2019;07 - 08;480,34
02.02.2019;08 - 09;497,65
02.02.2019;09 - 10;515,15
02.02.2019;10 - 11;523,08
02.02.2019;11 - 12;520,85
02.02.2019;12 - 13;516,89
02.02.2019;13 - 14;504,13
02.02.2019;14 - 15;492,81
02.02.2019;15 - 16;493,59
02.02.2019;16 - 17;504,61
02.02.2019;17 - 18;522,69
02.02.2019;18 - 19;531,59
02.02.2019;19 - 20;515,15
02.02.2019;20 - 21;499,49
02.02.2019;21 - 22;482,47
02.02.2019;22 - 23;478,21
02.02.2019;23 - 00;476,09
03.02.2019;00 - 01;470,51
03.02.2019;01 - 02;468,48
03.02.2019;02 - 03;467,61
03.02.2019;03 - 04;466,83
03.02.2019;04 - 05;466,74
03.02.2019;05 - 06;467,9
03.02.2019;06 - 07;470,22
03.02.2019;07 - 08;469,54
03.02.2019;08 - 09;472,83
03.02.2019;09 - 10;482,21
03.02.2019;10 - 11;488,79
03.02.2019;11 - 12;494,3
03.02.2019;12 - 13;490,63
03.02.2019;13 - 14;487,72
03.02.2019;14 - 15;486,27
03.02.2019;15 - 16;489,17
03.02.2019;16 - 17;499,14
03.02.2019;17 - 18;516,74
03.02.2019;18 - 19;535,02
03.02.2019;19 - 20;533,28
03.02.2019;20 - 21;516,25
03.02.2019;21 - 22;502,33
03.02.2019;22 - 23;493,62
03.02.2019;23 - 00;478,34
04.02.2019;00 - 01;485,31
04.02.2019;01 - 02;484,05
04.02.2019;02 - 03;481,82
04.02.2019;03 - 04;483,57
04.02.2019;04 - 05;488,98
04.02.2019;05 - 06;504,16
