Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Bergen - Florida Uib;SN50539;23.07.2021 10:00;20,6
Bergen - Florida Uib;SN50539;23.07.2021 11:00;21,4
Bergen - Florida Uib;SN50539;23.07.2021 12:00;22,5
Bergen - Florida Uib;SN50539;23.07.2021 13:00;24
Bergen - Florida Uib;SN50539;23.07.2021 14:00;23,8
Bergen - Florida Uib;SN50539;23.07.2021 15:00;24,5
Bergen - Florida Uib;SN50539;23.07.2021 16:00;24,2
Bergen - Florida Uib;SN50539;23.07.2021 17:00;23,8
Bergen - Florida Uib;SN50539;23.07.2021 18:00;22,6
Bergen - Florida Uib;SN50539;23.07.2021 19:00;18,8
Bergen - Florida Uib;SN50539;23.07.2021 20:00;17,7
Bergen - Florida Uib;SN50539;23.07.2021 21:00;15,8
Bergen - Florida Uib;SN50539;23.07.2021 22:00;14,8
Bergen - Florida Uib;SN50539;23.07.2021 23:00;14,3
Bergen - Florida Uib;SN50539;24.07.2021 00:00;14,6
Bergen - Florida Uib;SN50539;24.07.2021 01:00;14,5
Bergen - Florida Uib;SN50539;24.07.2021 02:00;14,4
Bergen - Florida Uib;SN50539;24.07.2021 03:00;14,1
Bergen - Florida Uib;SN50539;24.07.2021 04:00;14,1
Bergen - Florida Uib;SN50539;24.07.2021 05:00;14
Bergen - Florida Uib;SN50539;24.07.2021 06:00;14,1
Bergen - Florida Uib;SN50539;24.07.2021 07:00;14,3
Bergen - Florida Uib;SN50539;24.07.2021 08:00;14,7
Bergen - Florida Uib;SN50539;24.07.2021 09:00;15,7
Bergen - Florida Uib;SN50539;24.07.2021 10:00;18
Bergen - Florida Uib;SN50539;24.07.2021 11:00;17,8
Bergen - Florida Uib;SN50539;24.07.2021 12:00;18,6
Bergen - Florida Uib;SN50539;24.07.2021 13:00;19,3
Bergen - Florida Uib;SN50539;24.07.2021 14:00;20,2
Bergen - Florida Uib;SN50539;24.07.2021 15:00;20
Bergen - Florida Uib;SN50539;24.07.2021 16:00;19,3
Bergen - Florida Uib;SN50539;24.07.2021 17:00;19
Bergen - Florida Uib;SN50539;24.07.2021 18:00;18,5
Bergen - Florida Uib;SN50539;24.07.2021 19:00;17,5
Bergen - Florida Uib;SN50539;24.07.2021 20:00;17,2
Bergen - Florida Uib;SN50539;24.07.2021 21:00;16,6
Bergen - Florida Uib;SN50539;24.07.2021 22:00;16
Bergen - Florida Uib;SN50539;24.07.2021 23:00;15,3
Bergen - Florida Uib;SN50539;25.07.2021 00:00;14,8
Bergen - Florida Uib;SN50539;25.07.2021 01:00;14,2
Bergen - Florida Uib;SN50539;25.07.2021 02:00;14
Bergen - Florida Uib;SN50539;25.07.2021 03:00;13,8
Bergen - Florida Uib;SN50539;25.07.2021 04:00;13,9
Bergen - Florida Uib;SN50539;25.07.2021 05:00;14
Bergen - Florida Uib;SN50539;25.07.2021 06:00;14,4
Bergen - Florida Uib;SN50539;25.07.2021 07:00;16,5
Bergen - Florida Uib;SN50539;25.07.2021 08:00;19,7
Bergen - Florida Uib;SN50539;25.07.2021 09:00;22
Bergen - Florida Uib;SN50539;25.07.2021 10:00;24,2
Bergen - Florida Uib;SN50539;25.07.2021 11:00;25,6
Bergen - Florida Uib;SN50539;25.07.2021 12:00;26,5
Bergen - Florida Uib;SN50539;25.07.2021 13:00;27,8
Bergen - Florida Uib;SN50539;25.07.2021 14:00;27,8
Bergen - Florida Uib;SN50539;25.07.2021 15:00;27,7
Bergen - Florida Uib;SN50539;25.07.2021 16:00;27,5
Bergen - Florida Uib;SN50539;25.07.2021 17:00;28
Bergen - Florida Uib;SN50539;25.07.2021 18:00;26,7
Bergen - Florida Uib;SN50539;25.07.2021 19:00;25,4
Bergen - Florida Uib;SN50539;25.07.2021 20:00;23,7
Bergen - Florida Uib;SN50539;25.07.2021 21:00;22
Bergen - Florida Uib;SN50539;25.07.2021 22:00;20,5
Bergen - Florida Uib;SN50539;25.07.2021 23:00;19,9
Bergen - Florida Uib;SN50539;26.07.2021 00:00;19,7
Bergen - Florida Uib;SN50539;26.07.2021 01:00;19,3
Bergen - Florida Uib;SN50539;26.07.2021 02:00;17,8
Bergen - Florida Uib;SN50539;26.07.2021 03:00;17,2
Bergen - Florida Uib;SN50539;26.07.2021 04:00;17,1
Bergen - Florida Uib;SN50539;26.07.2021 05:00;17,5
Bergen - Florida Uib;SN50539;26.07.2021 06:00;18,6
Bergen - Florida Uib;SN50539;26.07.2021 07:00;19,4
Bergen - Florida Uib;SN50539;26.07.2021 08:00;20,6
Bergen - Florida Uib;SN50539;26.07.2021 09:00;23,5
Bergen - Florida Uib;SN50539;26.07.2021 10:00;26,2
Bergen - Florida Uib;SN50539;26.07.2021 11:00;26,3
Bergen - Florida Uib;SN50539;26.07.2021 12:00;28,7
Bergen - Florida Uib;SN50539;26.07.2021 13:00;27,2
Bergen - Florida Uib;SN50539;26.07.2021 14:00;25,2
Bergen - Florida Uib;SN50539;26.07.2021 15:00;25,8
Bergen - Florida Uib;SN50539;26.07.2021 16:00;25,8
Bergen - Florida Uib;SN50539;26.07.2021 17:00;25,7
Bergen - Florida Uib;SN50539;26.07.2021 18:00;23,5
Bergen - Florida Uib;SN50539;26.07.2021 19:00;23,6
Bergen - Florida Uib;SN50539;26.07.2021 20:00;23,2
Bergen - Florida Uib;SN50539;26.07.2021 21:00;21,8
Bergen - Florida Uib;SN50539;26.07.2021 22:00;19,9
Bergen - Florida Uib;SN50539;26.07.2021 23:00;19,1
Bergen - Florida Uib;SN50539;27.07.2021 00:00;18,7
Bergen - Florida Uib;SN50539;27.07.2021 01:00;17,8
Bergen - Florida Uib;SN50539;27.07.2021 02:00;17,5
Bergen - Florida Uib;SN50539;27.07.2021 03:00;17,5
Bergen - Florida Uib;SN50539;27.07.2021 04:00;17,6
Bergen - Florida Uib;SN50539;27.07.2021 05:00;17,4
Bergen - Florida Uib;SN50539;27.07.2021 06:00;17,7
Bergen - Florida Uib;SN50539;27.07.2021 07:00;18,8
Bergen - Florida Uib;SN50539;27.07.2021 08:00;19,8
Bergen - Florida Uib;SN50539;27.07.2021 09:00;20,4
Bergen - Florida Uib;SN50539;27.07.2021 10:00;21,6
Bergen - Florida Uib;SN50539;27.07.2021 11:00;22,6
Bergen - Florida Uib;SN50539;27.07.2021 12:00;21,6
Bergen - Florida Uib;SN50539;27.07.2021 13:00;20,4
Bergen - Florida Uib;SN50539;27.07.2021 14:00;20,1
Bergen - Florida Uib;SN50539;27.07.2021 15:00;20,7
Bergen - Florida Uib;SN50539;27.07.2021 16:00;22,3
Bergen - Florida Uib;SN50539;27.07.2021 17:00;22,8
Bergen - Florida Uib;SN50539;27.07.2021 18:00;19,4
Bergen - Florida Uib;SN50539;27.07.2021 19:00;18,4
Bergen - Florida Uib;SN50539;27.07.2021 20:00;18,5
Bergen - Florida Uib;SN50539;27.07.2021 21:00;18,5
Bergen - Florida Uib;SN50539;27.07.2021 22:00;18,2
Bergen - Florida Uib;SN50539;27.07.2021 23:00;17,7
Bergen - Florida Uib;SN50539;28.07.2021 00:00;17,5
Bergen - Florida Uib;SN50539;28.07.2021 01:00;17,2
Bergen - Florida Uib;SN50539;28.07.2021 02:00;16,9
Bergen - Florida Uib;SN50539;28.07.2021 03:00;16,9
Bergen - Florida Uib;SN50539;28.07.2021 04:00;17
Bergen - Florida Uib;SN50539;28.07.2021 05:00;17,1
Bergen - Florida Uib;SN50539;28.07.2021 06:00;17,5
Bergen - Florida Uib;SN50539;28.07.2021 07:00;17,6
Bergen - Florida Uib;SN50539;28.07.2021 08:00;17,7
Bergen - Florida Uib;SN50539;28.07.2021 09:00;18,1
Bergen - Florida Uib;SN50539;28.07.2021 10:00;20,3
Bergen - Florida Uib;SN50539;28.07.2021 11:00;21,7
Bergen - Florida Uib;SN50539;28.07.2021 12:00;22,4
Bergen - Florida Uib;SN50539;28.07.2021 13:00;21,7
Bergen - Florida Uib;SN50539;28.07.2021 14:00;21,3
Bergen - Florida Uib;SN50539;28.07.2021 15:00;19,9
Bergen - Florida Uib;SN50539;28.07.2021 16:00;17,7
Bergen - Florida Uib;SN50539;28.07.2021 17:00;17,9
Bergen - Florida Uib;SN50539;28.07.2021 18:00;18,1
Bergen - Florida Uib;SN50539;28.07.2021 19:00;18,4
Bergen - Florida Uib;SN50539;28.07.2021 20:00;18,3
Bergen - Florida Uib;SN50539;28.07.2021 21:00;17,7
Bergen - Florida Uib;SN50539;28.07.2021 22:00;16,1
Bergen - Florida Uib;SN50539;28.07.2021 23:00;15,9
Bergen - Florida Uib;SN50539;29.07.2021 00:00;15,7
Bergen - Florida Uib;SN50539;29.07.2021 01:00;15,4
Bergen - Florida Uib;SN50539;29.07.2021 02:00;15,3
Bergen - Florida Uib;SN50539;29.07.2021 03:00;14,9
Bergen - Florida Uib;SN50539;29.07.2021 04:00;14,8
Bergen - Florida Uib;SN50539;29.07.2021 05:00;15,2
Bergen - Florida Uib;SN50539;29.07.2021 06:00;15,6
Bergen - Florida Uib;SN50539;29.07.2021 07:00;16,1
Bergen - Florida Uib;SN50539;29.07.2021 08:00;17,5
Bergen - Florida Uib;SN50539;29.07.2021 09:00;18,9
Bergen - Florida Uib;SN50539;29.07.2021 10:00;17,8
Bergen - Florida Uib;SN50539;29.07.2021 11:00;16,7
Bergen - Florida Uib;SN50539;29.07.2021 12:00;16
Bergen - Florida Uib;SN50539;29.07.2021 13:00;17,1
Bergen - Florida Uib;SN50539;29.07.2021 14:00;19,2
Bergen - Florida Uib;SN50539;29.07.2021 15:00;18,7
Bergen - Florida Uib;SN50539;29.07.2021 16:00;18,3
Bergen - Florida Uib;SN50539;29.07.2021 17:00;18,5
Bergen - Florida Uib;SN50539;29.07.2021 18:00;18,5
Bergen - Florida Uib;SN50539;29.07.2021 19:00;18,1
Bergen - Florida Uib;SN50539;29.07.2021 20:00;17,7
Bergen - Florida Uib;SN50539;29.07.2021 21:00;17,2
Bergen - Florida Uib;SN50539;29.07.2021 22:00;16,7
Bergen - Florida Uib;SN50539;29.07.2021 23:00;16,6
Bergen - Florida Uib;SN50539;30.07.2021 00:00;16,6
Bergen - Florida Uib;SN50539;30.07.2021 01:00;16,5
Bergen - Florida Uib;SN50539;30.07.2021 02:00;16,5
Bergen - Florida Uib;SN50539;30.07.2021 03:00;16,5
Bergen - Florida Uib;SN50539;30.07.2021 04:00;16,2
Bergen - Florida Uib;SN50539;30.07.2021 05:00;16,2
Bergen - Florida Uib;SN50539;30.07.2021 06:00;16,4
Bergen - Florida Uib;SN50539;30.07.2021 07:00;17
Bergen - Florida Uib;SN50539;30.07.2021 08:00;17,4
Bergen - Florida Uib;SN50539;30.07.2021 09:00;18,6
Bergen - Florida Uib;SN50539;30.07.2021 10:00;20,1
Bergen - Florida Uib;SN50539;30.07.2021 11:00;21,3
Bergen - Florida Uib;SN50539;30.07.2021 12:00;22,1
Bergen - Florida Uib;SN50539;30.07.2021 13:00;22,5
Bergen - Florida Uib;SN50539;30.07.2021 14:00;22,5
Bergen - Florida Uib;SN50539;30.07.2021 15:00;22,3
Bergen - Florida Uib;SN50539;30.07.2021 16:00;21,2
Bergen - Florida Uib;SN50539;30.07.2021 17:00;20,1
Bergen - Florida Uib;SN50539;30.07.2021 18:00;18,6
Bergen - Florida Uib;SN50539;30.07.2021 19:00;16,7
Bergen - Florida Uib;SN50539;30.07.2021 20:00;16
Bergen - Florida Uib;SN50539;30.07.2021 21:00;14,7
Bergen - Florida Uib;SN50539;30.07.2021 22:00;14,3
Bergen - Florida Uib;SN50539;30.07.2021 23:00;13,3
Bergen - Florida Uib;SN50539;31.07.2021 00:00;12,6
Bergen - Florida Uib;SN50539;31.07.2021 01:00;12,2
Bergen - Florida Uib;SN50539;31.07.2021 02:00;11,8
Bergen - Florida Uib;SN50539;31.07.2021 03:00;12,2
Bergen - Florida Uib;SN50539;31.07.2021 04:00;12,8
Bergen - Florida Uib;SN50539;31.07.2021 05:00;12,7
Bergen - Florida Uib;SN50539;31.07.2021 06:00;13
Bergen - Florida Uib;SN50539;31.07.2021 07:00;13
Bergen - Florida Uib;SN50539;31.07.2021 08:00;13,9
Bergen - Florida Uib;SN50539;31.07.2021 09:00;14,5
Bergen - Florida Uib;SN50539;31.07.2021 10:00;14,9
Bergen - Florida Uib;SN50539;31.07.2021 11:00;15
Bergen - Florida Uib;SN50539;31.07.2021 12:00;16
Bergen - Florida Uib;SN50539;31.07.2021 13:00;19,3
Bergen - Florida Uib;SN50539;31.07.2021 14:00;18
Bergen - Florida Uib;SN50539;31.07.2021 15:00;19,7
Bergen - Florida Uib;SN50539;31.07.2021 16:00;18,3
Bergen - Florida Uib;SN50539;31.07.2021 17:00;17,2
Bergen - Florida Uib;SN50539;31.07.2021 18:00;17,9
Bergen - Florida Uib;SN50539;31.07.2021 19:00;16
Bergen - Florida Uib;SN50539;31.07.2021 20:00;14,9
Bergen - Florida Uib;SN50539;31.07.2021 21:00;14,2
Bergen - Florida Uib;SN50539;31.07.2021 22:00;13,2
Bergen - Florida Uib;SN50539;31.07.2021 23:00;12,6
Bergen - Florida Uib;SN50539;01.08.2021 00:00;12,7
Bergen - Florida Uib;SN50539;01.08.2021 01:00;12,2
Bergen - Florida Uib;SN50539;01.08.2021 02:00;12,1
Bergen - Florida Uib;SN50539;01.08.2021 03:00;11,8
Bergen - Florida Uib;SN50539;01.08.2021 04:00;12,4
Bergen - Florida Uib;SN50539;01.08.2021 05:00;11,8
Bergen - Florida Uib;SN50539;01.08.2021 06:00;12,4
Bergen - Florida Uib;SN50539;01.08.2021 07:00;13,2
Bergen - Florida Uib;SN50539;01.08.2021 08:00;15,6
Bergen - Florida Uib;SN50539;01.08.2021 09:00;16,7
Bergen - Florida Uib;SN50539;01.08.2021 10:00;17,7
Bergen - Florida Uib;SN50539;01.08.2021 11:00;18,5
Bergen - Florida Uib;SN50539;01.08.2021 12:00;19,4
Bergen - Florida Uib;SN50539;01.08.2021 13:00;20,1
Bergen - Florida Uib;SN50539;01.08.2021 14:00;20,7
Bergen - Florida Uib;SN50539;01.08.2021 15:00;20,5
Bergen - Florida Uib;SN50539;01.08.2021 16:00;19,6
Bergen - Florida Uib;SN50539;01.08.2021 17:00;18,9
Bergen - Florida Uib;SN50539;01.08.2021 18:00;18
Bergen - Florida Uib;SN50539;01.08.2021 19:00;15,7
Bergen - Florida Uib;SN50539;01.08.2021 20:00;14,7
Bergen - Florida Uib;SN50539;01.08.2021 21:00;13,5
Bergen - Florida Uib;SN50539;01.08.2021 22:00;12,8
Bergen - Florida Uib;SN50539;01.08.2021 23:00;12
Bergen - Florida Uib;SN50539;02.08.2021 00:00;11,7
Bergen - Florida Uib;SN50539;02.08.2021 01:00;11,2
Bergen - Florida Uib;SN50539;02.08.2021 02:00;11
Bergen - Florida Uib;SN50539;02.08.2021 03:00;11,3
Bergen - Florida Uib;SN50539;02.08.2021 04:00;11,4
Bergen - Florida Uib;SN50539;02.08.2021 05:00;10,9
Bergen - Florida Uib;SN50539;02.08.2021 06:00;11,4
Bergen - Florida Uib;SN50539;02.08.2021 07:00;12,4
Bergen - Florida Uib;SN50539;02.08.2021 08:00;14,1
Bergen - Florida Uib;SN50539;02.08.2021 09:00;14,3
Bergen - Florida Uib;SN50539;02.08.2021 10:00;14,4
Bergen - Florida Uib;SN50539;02.08.2021 11:00;15,5
Bergen - Florida Uib;SN50539;02.08.2021 12:00;16,6
Bergen - Florida Uib;SN50539;02.08.2021 13:00;18,8
Bergen - Florida Uib;SN50539;02.08.2021 14:00;18
Bergen - Florida Uib;SN50539;02.08.2021 15:00;19
Bergen - Florida Uib;SN50539;02.08.2021 16:00;17,6
Bergen - Florida Uib;SN50539;02.08.2021 17:00;17,4
Bergen - Florida Uib;SN50539;02.08.2021 18:00;16,5
Bergen - Florida Uib;SN50539;02.08.2021 19:00;14,6
Bergen - Florida Uib;SN50539;02.08.2021 20:00;13,1
Bergen - Florida Uib;SN50539;02.08.2021 21:00;12,1
Bergen - Florida Uib;SN50539;02.08.2021 22:00;10,9
Bergen - Florida Uib;SN50539;02.08.2021 23:00;9,8
Bergen - Florida Uib;SN50539;03.08.2021 00:00;9,3
Bergen - Florida Uib;SN50539;03.08.2021 01:00;9,2
Bergen - Florida Uib;SN50539;03.08.2021 02:00;9,4
Bergen - Florida Uib;SN50539;03.08.2021 03:00;9,2
Bergen - Florida Uib;SN50539;03.08.2021 04:00;9,5
Bergen - Florida Uib;SN50539;03.08.2021 05:00;9,5
Bergen - Florida Uib;SN50539;03.08.2021 06:00;10,4
Bergen - Florida Uib;SN50539;03.08.2021 07:00;11,4
Bergen - Florida Uib;SN50539;03.08.2021 08:00;12
Bergen - Florida Uib;SN50539;03.08.2021 09:00;15,1
Bergen - Florida Uib;SN50539;03.08.2021 10:00;15,2
Bergen - Florida Uib;SN50539;03.08.2021 11:00;15
Bergen - Florida Uib;SN50539;03.08.2021 12:00;15,2
Bergen - Florida Uib;SN50539;03.08.2021 13:00;16,8
Bergen - Florida Uib;SN50539;03.08.2021 14:00;17,2
Bergen - Florida Uib;SN50539;03.08.2021 15:00;17,8
Bergen - Florida Uib;SN50539;03.08.2021 16:00;17,8
Bergen - Florida Uib;SN50539;03.08.2021 17:00;17,6
Bergen - Florida Uib;SN50539;03.08.2021 18:00;16
Bergen - Florida Uib;SN50539;03.08.2021 19:00;14,2
Bergen - Florida Uib;SN50539;03.08.2021 20:00;13,4
Bergen - Florida Uib;SN50539;03.08.2021 21:00;12,6
Bergen - Florida Uib;SN50539;03.08.2021 22:00;11,6
Bergen - Florida Uib;SN50539;03.08.2021 23:00;10,5
Bergen - Florida Uib;SN50539;04.08.2021 00:00;10
Bergen - Florida Uib;SN50539;04.08.2021 01:00;9,2
Bergen - Florida Uib;SN50539;04.08.2021 02:00;8,8
Bergen - Florida Uib;SN50539;04.08.2021 03:00;8,9
Bergen - Florida Uib;SN50539;04.08.2021 04:00;9,2
Bergen - Florida Uib;SN50539;04.08.2021 05:00;9,1
Bergen - Florida Uib;SN50539;04.08.2021 06:00;9,8
Bergen - Florida Uib;SN50539;04.08.2021 07:00;12,1
Bergen - Florida Uib;SN50539;04.08.2021 08:00;16,3
Bergen - Florida Uib;SN50539;04.08.2021 09:00;15,8
Bergen - Florida Uib;SN50539;04.08.2021 10:00;15,6
Bergen - Florida Uib;SN50539;04.08.2021 11:00;18,2
Bergen - Florida Uib;SN50539;04.08.2021 12:00;19,2
Bergen - Florida Uib;SN50539;04.08.2021 13:00;17,9
Bergen - Florida Uib;SN50539;04.08.2021 14:00;17,6
Bergen - Florida Uib;SN50539;04.08.2021 15:00;18,3
Bergen - Florida Uib;SN50539;04.08.2021 16:00;18
Bergen - Florida Uib;SN50539;04.08.2021 17:00;18,4
Bergen - Florida Uib;SN50539;04.08.2021 18:00;18,2
Bergen - Florida Uib;SN50539;04.08.2021 19:00;16,3
Bergen - Florida Uib;SN50539;04.08.2021 20:00;15,4
Bergen - Florida Uib;SN50539;04.08.2021 21:00;14,3
Bergen - Florida Uib;SN50539;04.08.2021 22:00;12,7
Bergen - Florida Uib;SN50539;04.08.2021 23:00;12,7
Bergen - Florida Uib;SN50539;05.08.2021 00:00;11,8
Bergen - Florida Uib;SN50539;05.08.2021 01:00;11,4
Bergen - Florida Uib;SN50539;05.08.2021 02:00;11,5
Bergen - Florida Uib;SN50539;05.08.2021 03:00;11,3
Bergen - Florida Uib;SN50539;05.08.2021 04:00;11
Bergen - Florida Uib;SN50539;05.08.2021 05:00;11
Bergen - Florida Uib;SN50539;05.08.2021 06:00;11,7
Bergen - Florida Uib;SN50539;05.08.2021 07:00;13,4
Bergen - Florida Uib;SN50539;05.08.2021 08:00;17,1
Bergen - Florida Uib;SN50539;05.08.2021 09:00;17,8
Bergen - Florida Uib;SN50539;05.08.2021 10:00;17,2
Bergen - Florida Uib;SN50539;05.08.2021 11:00;18,4
Bergen - Florida Uib;SN50539;05.08.2021 12:00;19,3
Bergen - Florida Uib;SN50539;05.08.2021 13:00;20,6
Bergen - Florida Uib;SN50539;05.08.2021 14:00;20,5
Bergen - Florida Uib;SN50539;05.08.2021 15:00;19,9
Bergen - Florida Uib;SN50539;05.08.2021 16:00;20,8
Bergen - Florida Uib;SN50539;05.08.2021 17:00;20
Bergen - Florida Uib;SN50539;05.08.2021 18:00;18,9
Bergen - Florida Uib;SN50539;05.08.2021 19:00;18
Bergen - Florida Uib;SN50539;05.08.2021 20:00;17,1
Bergen - Florida Uib;SN50539;05.08.2021 21:00;16,8
Bergen - Florida Uib;SN50539;05.08.2021 22:00;16
Bergen - Florida Uib;SN50539;05.08.2021 23:00;15,6
Bergen - Florida Uib;SN50539;06.08.2021 00:00;15
Bergen - Florida Uib;SN50539;06.08.2021 01:00;14,3
Bergen - Florida Uib;SN50539;06.08.2021 02:00;13,2
Bergen - Florida Uib;SN50539;06.08.2021 03:00;13,4
Bergen - Florida Uib;SN50539;06.08.2021 04:00;12,5
Bergen - Florida Uib;SN50539;06.08.2021 05:00;12,6
Bergen - Florida Uib;SN50539;06.08.2021 06:00;15
Bergen - Florida Uib;SN50539;06.08.2021 07:00;15,6
Bergen - Florida Uib;SN50539;06.08.2021 08:00;14,9
Bergen - Florida Uib;SN50539;06.08.2021 09:00;17,2
Bergen - Florida Uib;SN50539;06.08.2021 10:00;16,9
Bergen - Florida Uib;SN50539;06.08.2021 11:00;20,4
Bergen - Florida Uib;SN50539;06.08.2021 12:00;21,1
Bergen - Florida Uib;SN50539;06.08.2021 13:00;24,3
Bergen - Florida Uib;SN50539;06.08.2021 14:00;24,8
Bergen - Florida Uib;SN50539;06.08.2021 15:00;25,7
Bergen - Florida Uib;SN50539;06.08.2021 16:00;25,6
Bergen - Florida Uib;SN50539;06.08.2021 17:00;23,9
Bergen - Florida Uib;SN50539;06.08.2021 18:00;24,1
Bergen - Florida Uib;SN50539;06.08.2021 19:00;23,1
Bergen - Florida Uib;SN50539;06.08.2021 20:00;21,4
Bergen - Florida Uib;SN50539;06.08.2021 21:00;20,2
Bergen - Florida Uib;SN50539;06.08.2021 22:00;18,1
Bergen - Florida Uib;SN50539;06.08.2021 23:00;18,1
Bergen - Florida Uib;SN50539;07.08.2021 00:00;19,3
Bergen - Florida Uib;SN50539;07.08.2021 01:00;17,1
Bergen - Florida Uib;SN50539;07.08.2021 02:00;19,7
Bergen - Florida Uib;SN50539;07.08.2021 03:00;19,9
Bergen - Florida Uib;SN50539;07.08.2021 04:00;19,9
Bergen - Florida Uib;SN50539;07.08.2021 05:00;19,5
Bergen - Florida Uib;SN50539;07.08.2021 06:00;19,7
Bergen - Florida Uib;SN50539;07.08.2021 07:00;19,7
Bergen - Florida Uib;SN50539;07.08.2021 08:00;20,4
Bergen - Florida Uib;SN50539;07.08.2021 09:00;20,6
Bergen - Florida Uib;SN50539;07.08.2021 10:00;20,7
Bergen - Florida Uib;SN50539;07.08.2021 11:00;21,3
Bergen - Florida Uib;SN50539;07.08.2021 12:00;21,6
Bergen - Florida Uib;SN50539;07.08.2021 13:00;21,7
Bergen - Florida Uib;SN50539;07.08.2021 14:00;22,1
Bergen - Florida Uib;SN50539;07.08.2021 15:00;22,3
Bergen - Florida Uib;SN50539;07.08.2021 16:00;21,9
Bergen - Florida Uib;SN50539;07.08.2021 17:00;20,4
Bergen - Florida Uib;SN50539;07.08.2021 18:00;20
Bergen - Florida Uib;SN50539;07.08.2021 19:00;19,7
Bergen - Florida Uib;SN50539;07.08.2021 20:00;19,1
Bergen - Florida Uib;SN50539;07.08.2021 21:00;18,6
Bergen - Florida Uib;SN50539;07.08.2021 22:00;17,5
Bergen - Florida Uib;SN50539;07.08.2021 23:00;16,9
Bergen - Florida Uib;SN50539;08.08.2021 00:00;16,6
Bergen - Florida Uib;SN50539;08.08.2021 01:00;16,3
Bergen - Florida Uib;SN50539;08.08.2021 02:00;15,4
Bergen - Florida Uib;SN50539;08.08.2021 03:00;14,8
Bergen - Florida Uib;SN50539;08.08.2021 04:00;14,7
Bergen - Florida Uib;SN50539;08.08.2021 05:00;14,9
Bergen - Florida Uib;SN50539;08.08.2021 06:00;14,7
Bergen - Florida Uib;SN50539;08.08.2021 07:00;15,5
Bergen - Florida Uib;SN50539;08.08.2021 08:00;17,9
Bergen - Florida Uib;SN50539;08.08.2021 09:00;19,5
Bergen - Florida Uib;SN50539;08.08.2021 10:00;20,2
Bergen - Florida Uib;SN50539;08.08.2021 11:00;20
Bergen - Florida Uib;SN50539;08.08.2021 12:00;21,6
Bergen - Florida Uib;SN50539;08.08.2021 13:00;22,1
Bergen - Florida Uib;SN50539;08.08.2021 14:00;22,5
Bergen - Florida Uib;SN50539;08.08.2021 15:00;21,3
Bergen - Florida Uib;SN50539;08.08.2021 16:00;21,4
Bergen - Florida Uib;SN50539;08.08.2021 17:00;21,6
Bergen - Florida Uib;SN50539;08.08.2021 18:00;21,3
Bergen - Florida Uib;SN50539;08.08.2021 19:00;19,8
Bergen - Florida Uib;SN50539;08.08.2021 20:00;18,9
Bergen - Florida Uib;SN50539;08.08.2021 21:00;16,7
Bergen - Florida Uib;SN50539;08.08.2021 22:00;16,7
Bergen - Florida Uib;SN50539;08.08.2021 23:00;16,9
Bergen - Florida Uib;SN50539;09.08.2021 00:00;15,6
Bergen - Florida Uib;SN50539;09.08.2021 01:00;14,6
Bergen - Florida Uib;SN50539;09.08.2021 02:00;14
Bergen - Florida Uib;SN50539;09.08.2021 03:00;13,2
Bergen - Florida Uib;SN50539;09.08.2021 04:00;13,7
Bergen - Florida Uib;SN50539;09.08.2021 05:00;13,9
Bergen - Florida Uib;SN50539;09.08.2021 06:00;14,8
Bergen - Florida Uib;SN50539;09.08.2021 07:00;16,2
Bergen - Florida Uib;SN50539;09.08.2021 08:00;16,4
Bergen - Florida Uib;SN50539;09.08.2021 09:00;17
Bergen - Florida Uib;SN50539;09.08.2021 10:00;18,1
Bergen - Florida Uib;SN50539;09.08.2021 11:00;18,4
Bergen - Florida Uib;SN50539;09.08.2021 12:00;19,8
Bergen - Florida Uib;SN50539;09.08.2021 13:00;21,8
Bergen - Florida Uib;SN50539;09.08.2021 14:00;22,4
Bergen - Florida Uib;SN50539;09.08.2021 15:00;17,6
Bergen - Florida Uib;SN50539;09.08.2021 16:00;16,7
Bergen - Florida Uib;SN50539;09.08.2021 17:00;16,9
Bergen - Florida Uib;SN50539;09.08.2021 18:00;17,8
Bergen - Florida Uib;SN50539;09.08.2021 19:00;17
Bergen - Florida Uib;SN50539;09.08.2021 20:00;15,5
Bergen - Florida Uib;SN50539;09.08.2021 21:00;15,5
Bergen - Florida Uib;SN50539;09.08.2021 22:00;15,7
Bergen - Florida Uib;SN50539;09.08.2021 23:00;15,6
Bergen - Florida Uib;SN50539;10.08.2021 00:00;15,6
Bergen - Florida Uib;SN50539;10.08.2021 01:00;15,6
Bergen - Florida Uib;SN50539;10.08.2021 02:00;15,3
Bergen - Florida Uib;SN50539;10.08.2021 03:00;15,3
Bergen - Florida Uib;SN50539;10.08.2021 04:00;14,8
Bergen - Florida Uib;SN50539;10.08.2021 05:00;14,7
Bergen - Florida Uib;SN50539;10.08.2021 06:00;14,8
Bergen - Florida Uib;SN50539;10.08.2021 07:00;15,4
Bergen - Florida Uib;SN50539;10.08.2021 08:00;17,3
Bergen - Florida Uib;SN50539;10.08.2021 09:00;18,6
Bergen - Florida Uib;SN50539;10.08.2021 10:00;18,4
Bergen - Florida Uib;SN50539;10.08.2021 11:00;20,3
Bergen - Florida Uib;SN50539;10.08.2021 12:00;20,1
Bergen - Florida Uib;SN50539;10.08.2021 13:00;21,3
Bergen - Florida Uib;SN50539;10.08.2021 14:00;20,5
Bergen - Florida Uib;SN50539;10.08.2021 15:00;20,3
Bergen - Florida Uib;SN50539;10.08.2021 16:00;19,6
